MQ3_raw,MQ135_raw,MQ2_raw,label
943,1258,333,Healthy
942,1257,332,Healthy
943,1258,332,Healthy
943,1257,327,Healthy
942,1258,330,Healthy
941,1255,329,Healthy
941,1257,329,Healthy
942,1255,330,Healthy
941,1260,327,Healthy
941,1258,333,Healthy
939,1258,330,Healthy
942,1255,334,Healthy
942,1255,331,Healthy
939,1257,331,Healthy
942,1255,333,Healthy
943,1259,334,Healthy
943,1258,330,Healthy
941,1257,331,Healthy
940,1259,334,Healthy
943,1255,329,Healthy
943,1258,333,Healthy
943,1257,332,Healthy
942,1259,333,Healthy
943,1258,335,Healthy
944,1258,334,Healthy
943,1259,332,Healthy
944,1255,333,Healthy
943,1258,330,Healthy
943,1257,335,Healthy
942,1258,331,Healthy
944,1255,333,Healthy
943,1255,332,Healthy
944,1257,331,Healthy
944,1258,335,Healthy
943,1259,334,Healthy
943,1256,333,Healthy
944,1260,334,Healthy
943,1258,335,Healthy
942,1257,330,Healthy
943,1257,333,Healthy
944,1255,334,Healthy
944,1258,331,Healthy
942,1259,333,Healthy
943,1258,333,Healthy
943,1259,333,Healthy
942,1258,331,Healthy
942,1255,331,Healthy
943,1260,329,Healthy
943,1258,332,Healthy
943,1258,330,Healthy
944,1259,331,Healthy
941,1255,327,Healthy
941,1255,327,Healthy
941,1259,327,Healthy
943,1257,327,Healthy
941,1255,331,Healthy
942,1259,327,Healthy
943,1258,332,Healthy
943,1257,325,Healthy
943,1258,327,Healthy
941,1257,330,Healthy
943,1255,328,Healthy
943,1258,327,Healthy
943,1255,327,Healthy
943,1255,331,Healthy
942,1259,327,Healthy
943,1258,326,Healthy
941,1257,325,Healthy
941,1258,329,Healthy
943,1259,330,Healthy
942,1258,331,Healthy
943,1258,329,Healthy
944,1258,329,Healthy
942,1258,325,Healthy
941,1259,330,Healthy
943,1258,328,Healthy
941,1258,327,Healthy
943,1258,327,Healthy
942,1259,327,Healthy
942,1258,327,Healthy
942,1259,330,Healthy
944,1263,332,Healthy
944,1261,331,Healthy
942,1260,331,Healthy
943,1258,334,Healthy
943,1259,331,Healthy
944,1255,331,Healthy
944,1257,334,Healthy
944,1262,335,Healthy
944,1261,333,Healthy
943,1259,330,Healthy
944,1261,333,Healthy
943,1258,330,Healthy
943,1259,331,Healthy
944,1259,331,Healthy
944,1261,331,Healthy
943,1260,330,Healthy
941,1260,330,Healthy
944,1259,329,Healthy
944,1259,333,Healthy
944,1255,331,Healthy
943,1259,330,Healthy
942,1257,327,Healthy
944,1259,334,Healthy
942,1260,332,Healthy
943,1259,330,Healthy
960,1268,333,Interference
958,1270,333,Interference
958,1267,329,Interference
958,1269,333,Interference
